Date,City,State,Station Name,Current AQI value
16-03-20,Amaravati,Andhra Pradesh,"Secretariat, Amaravati - APPCB",46
16-03-20,Rajamahendravaram,Andhra Pradesh,"Anand Kala Kshetram, Rajamahendravaram - APPCB",60
16-03-20,Tirupati,Andhra Pradesh,"Tirumala, Tirupati - APPCB",48
16-03-20,Visakhapatnam,Andhra Pradesh,"GVM Corporation, Visakhapatnam - APPCB",95
16-03-20,Guwahati,Assam,"Railway Colony, Guwahati - APCB",186
16-03-20,Gaya,Bihar,"Collectorate, Gaya - BSPCB",114
16-03-20,Gaya,Bihar,"SFTI Kusdihra, Gaya - BSPCB",57
16-03-20,Hajipur,Bihar,"Industrial Area, Hajipur - BSPCB",133
16-03-20,Muzaffarpur,Bihar,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",
16-03-20,Patna,Bihar,"DRM Office Danapur, Patna - BSPCB",168
16-03-20,Patna,Bihar,"IGSC Planetarium Complex, Patna - BSPCB",159
16-03-20,Patna,Bihar,"Muradpur, Patna - BSPCB",98
16-03-20,Patna,Bihar,"Rajbansi Nagar, Patna - BSPCB",93
16-03-20,Patna,Bihar,"Samanpura, Patna - BSPCB",125
16-03-20,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",53
16-03-20,Delhi,Delhi,"Alipur, Delhi - DPCC",97
16-03-20,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",
16-03-20,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",179
16-03-20,Delhi,Delhi,"Aya Nagar, Delhi - IMD",109
16-03-20,Delhi,Delhi,"Bawana, Delhi - DPCC",218
16-03-20,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",122
16-03-20,Delhi,Delhi,"DTU, Delhi - CPCB",174
16-03-20,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",120
16-03-20,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",216
16-03-20,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",
16-03-20,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",112
16-03-20,Delhi,Delhi,"ITO, Delhi - CPCB",
16-03-20,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",
16-03-20,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",113
16-03-20,Delhi,Delhi,"Lodhi Road, Delhi - IMD",95
16-03-20,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",107
16-03-20,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",117
16-03-20,Delhi,Delhi,"Mundka, Delhi - DPCC",240
16-03-20,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",124
16-03-20,Delhi,Delhi,"Najafgarh, Delhi - DPCC",251
16-03-20,Delhi,Delhi,"Narela, Delhi - DPCC",143
16-03-20,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",145
16-03-20,Delhi,Delhi,"North Campus, DU, Delhi - IMD",105
16-03-20,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",122
16-03-20,Delhi,Delhi,"Patparganj, Delhi - DPCC",101
16-03-20,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",
16-03-20,Delhi,Delhi,"Pusa, Delhi - DPCC",
16-03-20,Delhi,Delhi,"Pusa, Delhi - IMD",110
16-03-20,Delhi,Delhi,"R K Puram, Delhi - DPCC",115
16-03-20,Delhi,Delhi,"Rohini, Delhi - DPCC",187
16-03-20,Delhi,Delhi,"Shadipur, Delhi - CPCB",69
16-03-20,Delhi,Delhi,"Sirifort, Delhi - CPCB",276
16-03-20,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",112
16-03-20,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",89
16-03-20,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",122
16-03-20,Delhi,Delhi,"Wazirpur, Delhi - DPCC",147
16-03-20,Ahmedabad,Gujarat,"Maninagar, Ahmedabad - GPCB",99
16-03-20,Ankleshwar,Gujarat,"GIDC, Ankleshwar - GPCB",163
16-03-20,Gandhinagar,Gujarat,"Sector-10, Gandhinagar - GPCB",79
16-03-20,Nandesari,Gujarat,"GIDC, Nandesari - Nandesari Ind. Association",123
16-03-20,Vapi,Gujarat,"Phase-1 GIDC, Vapi - GPCB",146
16-03-20,Vatva,Gujarat,"Phase-4 GIDC, Vatva - GPCB",131
16-03-20,Ambala,Haryana,"Patti Mehar, Ambala - HSPCB",80
16-03-20,Bahadurgarh,Haryana,"Arya Nagar, Bahadurgarh - HSPCB",127
16-03-20,Ballabgarh,Haryana,"Nathu Colony, Ballabgarh - HSPCB",96
16-03-20,Bhiwani,Haryana,"H.B. Colony, Bhiwani - HSPCB",
16-03-20,Dharuhera,Haryana,"Municipal Corporation Office, Dharuhera - HSPCB",143
16-03-20,Faridabad,Haryana,"New Industrial Town, Faridabad - HSPCB",
16-03-20,Faridabad,Haryana,"Sector 11, Faridabad - HSPCB",
16-03-20,Faridabad,Haryana,"Sector 30, Faridabad - HSPCB",182
16-03-20,Faridabad,Haryana,"Sector- 16A, Faridabad - HSPCB",91
16-03-20,Fatehabad,Haryana,"Huda Sector, Fatehabad - HSPCB",78
16-03-20,Gurugram,Haryana,"NISE Gwal Pahari, Gurugram - IMD",
16-03-20,Gurugram,Haryana,"Sector-51, Gurugram - HSPCB",228
16-03-20,Gurugram,Haryana,"Vikas Sadan, Gurugram - HSPCB",94
16-03-20,Hisar,Haryana,"Urban Estate-II, Hisar - HSPCB",96
16-03-20,Jind,Haryana,"Police Lines, Jind - HSPCB",97
16-03-20,Kaithal,Haryana,"Rishi Nagar, Kaithal - HSPCB",66
16-03-20,Karnal,Haryana,"Sector-12, Karnal - HSPCB",82
16-03-20,Kurukshetra,Haryana,"Sector-7, Kurukshetra - HSPCB",81
16-03-20,Mandikhera,Haryana,"General Hospital, Mandikhera - HSPCB",99
16-03-20,Manesar,Haryana,"Sector-2 IMT, Manesar - HSPCB",126
16-03-20,Narnaul,Haryana,"Shastri Nagar, Narnaul - HSPCB",89
16-03-20,Palwal,Haryana,"Shyam Nagar, Palwal - HSPCB",115
16-03-20,Panchkula,Haryana,"Sector-6, Panchkula - HSPCB",39
16-03-20,Panipat,Haryana,"Sector-18, Panipat - HSPCB",122
16-03-20,Rohtak,Haryana,"MD University, Rohtak - HSPCB",85
16-03-20,Sirsa,Haryana,"F-Block, Sirsa - HSPCB",73
16-03-20,Sonipat,Haryana,"Murthal, Sonipat - HSPCB",110
16-03-20,Yamunanagar,Haryana,"Gobind Pura, Yamuna Nagar - HSPCB",79
16-03-20,Jorapokhar,Jharkhand,"Tata Stadium, Jorapokhar - JSPCB",
16-03-20,Bagalkot,Karnataka,"Vidayagiri, Bagalkot - KSPCB",
16-03-20,Bengaluru,Karnataka,"BTM Layout, Bengaluru - CPCB",51
16-03-20,Bengaluru,Karnataka,"BWSSB Kadabesanahalli, Bengaluru - CPCB",81
16-03-20,Bengaluru,Karnataka,"Bapuji Nagar, Bengaluru - KSPCB",66
16-03-20,Bengaluru,Karnataka,"City Railway Station, Bengaluru - KSPCB",78
16-03-20,Bengaluru,Karnataka,"Hebbal, Bengaluru - KSPCB",67
16-03-20,Bengaluru,Karnataka,"Hombegowda Nagar, Bengaluru - KSPCB",63
